dataset_name,estimator_name,estimator_kwargs,error_mean,error_std,error_best,num_params,speed,best_args,individual_trials,threshold_method
airfoil,ttml_mlp1,9-45,3.0734981406080237,0.5933980054417153,1.7847477818343807,3420,1324033.19638995,,"[3.8931816142454987, 2.9037648462658083, 3.0939690151590233, 4.067527254059017, 2.5718005101225203, 2.664429528749256, 1.7847477818343807, 3.295598900736214, 3.2675925817468765, 3.3334943343472063, 3.384890051523279, 2.6209812685072116]",data
airfoil,ttml_xgb,5-171,3.003517165074934,0.7133103335728735,1.9774984941455414,1540,1965197.9032415154,,"[3.638896570720765, 2.8608058502556633, 2.4241519898086366, 2.2823205501233703, 2.655240232899438, 3.124071522699517, 1.9774984941455414, 2.633653174686608, 3.117250663575031, 3.0530959946668426, 3.462034773064912, 4.813186164252884]",data
airfoil,ttml_mlp1,8-134,2.9963287779351635,0.5295066231963295,1.8398708089512545,3336,1492470.0425718494,,"[2.834236812126203, 3.030801118964381, 2.7791493817366026, 3.6654001311237354, 3.076128043165201, 2.430749428474119, 2.699451185705436, 3.802954442966476, 3.282728629641501, 3.5901382977368974, 2.92433705463016, 1.8398708089512545]",data
seismic_bumps,ttml_mlp1,14-35,2.357395419399306,0.9768203840013974,1.5839244214908397,34498,234129.71131301022,,"[1.5839244214908397, 2.7379845605850965, 2.065230112847539, 2.1674413999097153, 1.697336804509052, 2.869227567057036, 5.334043970736741, 1.8308590744990527, 2.3632808606286666, 2.0797796100685306, 1.7252025868099683, 1.8344340636494358]",data
airfoil,ttml_mlp1,4-21,4.596222093564278,0.6411621346829611,3.65660576303513,596,2480239.0155390515,,"[4.713751449822592, 4.51131618961761, 3.731288514149432, 3.959249481252621, 5.367725096317048, 4.710253852152317, 4.13702080138868, 3.65660576303513, 4.3554549257054465, 5.818162056534288, 5.140136254745633, 5.053700738050531]",data
airfoil,ttml_xgb,13-149,3.120722103528648,0.9738226802094503,1.433498988104565,7865,766824.1215725469,,"[3.868005429542612, 2.3590474204542295, 3.0741083378086427, 3.2726110289652253, 2.9104541922716107, 2.7090985151312448, 1.433498988104565, 5.3941359179519655, 3.417035356770533, 4.0340434358221415, 2.1239469981436536, 2.8526796213773533]",data
wine_quality,ttml_mlp1,15-34,2.318629582892583,0.6073365068863021,1.669831423005995,65445,217702.757692869,,"[3.143214364534439, 2.3343995133012347, 1.9678117984088819, 1.7519468014249162, 2.067894485950688, 2.411602388935392, 2.0039913056461383, 2.344408892731119, 2.004054860651021, 1.669831423005995, 3.9296779677657536, 2.1947211923554146]",data
shill_bidding,ttml_mlp2,10-88,0.12270288078654722,0.07831841007167002,0.001001685950904178,31365,461043.2499075043,,"[0.2854836951070431, 0.1176097449567601, 0.21048567516238784, 0.08482469876713285, 0.0705962675063087, 0.001001685950904178, 0.14091302624979815, 0.19182486418082195, 0.03950803026803722, 0.04992543854215597, 0.17534460076299221, 0.10491684198422432]",data
airfoil,ttml_xgb,6-63,3.122562203790682,0.934523576871008,1.7741060464843803,1794,1623934.9378772483,,"[3.7921772257077535, 2.0885076691250415, 1.7741060464843803, 2.673193966612996, 2.148349304819031, 2.8659331479308814, 2.140220732645479, 4.425249683970057, 3.4422792256619017, 3.42196046568279, 4.171747078925552, 4.527021897922315]",data
airfoil,ttml_mlp1,12-177,2.6102944898211153,0.6980095130595128,1.7730470093562267,6828,928441.0576896168,,"[4.354067118974996, 2.387561397011403, 3.003709253306787, 1.7730470093562267, 2.057326406632755, 2.59417028466504, 2.643191256566195, 1.8934854550404343, 2.0579744802455466, 3.381149242273775, 2.8884064391344766, 2.2894455346457434]",data
concrete,ttml_rf,11-69,33.50285383230841,6.385063897937329,26.153195299187527,36454,453052.0387715396,,"[42.285474231766145, 26.153195299187527, 29.14271339258993, 30.735001492621556, 26.2683798232173, 27.774543114490076, 43.82540332395432, 36.33556303914981, 32.07836916385278, 28.250945438092998, 35.857411055765105, 43.32724661301335]",data
